05-03-23 16:00:00;09812389;805
05-03-23 15:00:00;13456789;1302
05-03-23 14:00:00;90825789;510
05-02-23 13:00:00;03241897;1680

04-03-23 16:00:00;09812389;615
04-03-23 15:00:00;13456789;1200
04-03-23 14:00:00;90825789;430
04-02-23 13:00:00;03241897;1600

03-03-23 16:00:00;09812389;523
03-03-23 15:00:00;13456789;1050
03-03-23 14:00:00;90825789;390
03-02-23 13:00:00;03241897;1420

02-03-23 16:00:00;09812389;500
02-03-23 15:00:00;13456789;932
02-03-23 14:00:00;90825789;320
02-02-23 13:00:00;03241897;1380

01-03-23 16:00:00;09812389;400
01-03-23 15:00:00;13456789;900
01-03-23 14:00:00;90825789;200
01-03-23 13:00:50;03241897;1300
